index,singlish,english
1,"Wah, this chicken very shiok!","Wow, this chicken is very delicious!"
2,Can you pass me the soya sauce?,Can you pass me the soy sauce?
3,I think need to add more salt leh.,I think we need to add more salt.
4,"This curry damn power, man!",This curry is really powerful!
5,"Eh, don't forget to stir the pot ah.","Hey, don't forget to stir the pot."
6,The rice almost done already.,The rice is almost done.
7,Can you help me chop the onions?,Can you help me chop the onions?
8,"I think the soup too bland, add some pepper.","I think the soup is too bland, add some pepper."
9,This recipe from my grandma one.,This recipe is from my grandma.
10,"Don't overcook the veggies, later not nice.","Don't overcook the vegetables, they won't taste good."
11,I need to buy more garlic for the dish.,I need to buy more garlic for the dish.
12,"The fish very fresh, must cook properly.","The fish is very fresh, we must cook it properly."
13,Can you help me wash the rice?,Can you help me wash the rice?
14,"This sambal very spicy, careful ah.","This sambal is very spicy, be careful."
15,I think the chicken not cooked yet.,I think the chicken is not cooked yet.
16,Add some sugar to balance the taste.,Add some sugar to balance the taste.
17,The noodles need to boil for 5 more minutes.,The noodles need to boil for 5 more minutes.
18,"This dish very easy to make, trust me.","This dish is very easy to make, trust me."
19,I need to marinate the meat first.,I need to marinate the meat first.
20,"The prawns must be fresh, then nice.","The prawns must be fresh, then they will taste good."
21,Can you help me peel the potatoes?,Can you help me peel the potatoes?
22,"This sauce very thick, need to add water.","This sauce is very thick, we need to add water."
23,I think the soup need more herbs.,I think the soup needs more herbs.
24,"The tofu very soft, must handle carefully.","The tofu is very soft, we must handle it carefully."
25,I need to buy more ingredients for the dish.,I need to buy more ingredients for the dish.
26,"The chili very hot, don't put too much.","The chili is very hot, don't put too much."
27,Can you help me mix the batter?,Can you help me mix the batter?
28,"This dessert very sweet, sure you like.","This dessert is very sweet, I'm sure you will like it."
29,I think the fish need more seasoning.,I think the fish needs more seasoning.
30,"The soup boiling already, can add the veggies.","The soup is boiling already, you can add the vegetables."
31,This dish very popular in Singapore.,This dish is very popular in Singapore.
32,Can you help me grind the spices?,Can you help me grind the spices?
33,"The chicken must be tender, then nice.","The chicken must be tender, then it will taste good."
34,I need to buy more oil for frying.,I need to buy more oil for frying.
35,The curry need to simmer for 30 minutes.,The curry needs to simmer for 30 minutes.
36,"This dish very fragrant, can smell already.","This dish is very fragrant, you can smell it already."
37,Can you help me slice the mushrooms?,Can you help me slice the mushrooms?
38,"The sauce very rich, very nice.","The sauce is very rich, very nice."
39,I think the meat need to cook longer.,I think the meat needs to cook longer.
40,"The rice cooker almost done, can eat soon.","The rice cooker is almost done, we can eat soon."
41,"This recipe very simple, anyone can do.","This recipe is very simple, anyone can do it."
42,Can you help me grate the cheese?,Can you help me grate the cheese?
43,"The soup very hearty, good for cold days.","The soup is very hearty, good for cold days."
44,I need to buy more vegetables for the salad.,I need to buy more vegetables for the salad.
45,"The chicken must be crispy, then nice.","The chicken must be crispy, then it will taste good."
46,Can you help me beat the eggs?,Can you help me beat the eggs?
47,"This dish very healthy, good for you.","This dish is very healthy, good for you."
48,I think the sauce need more garlic.,I think the sauce needs more garlic.
49,"The noodles very springy, very nice.","The noodles are very springy, very nice."
50,Can you help me wash the vegetables?,Can you help me wash the vegetables?
51,"The soup very clear, very nice.","The soup is very clear, very nice."
52,I need to buy more spices for the curry.,I need to buy more spices for the curry.
53,"The fish must be flaky, then nice.","The fish must be flaky, then it will taste good."
54,Can you help me mash the potatoes?,Can you help me mash the potatoes?
55,"This dish very flavourful, you will like.","This dish is very flavourful, you will like it."
56,I think the meat need more marination.,I think the meat needs more marination.
57,"The rice very fluffy, very nice.","The rice is very fluffy, very nice."
58,Can you help me chop the garlic?,Can you help me chop the garlic?
59,"The soup very nourishing, good for health.","The soup is very nourishing, good for health."
60,I need to buy more chicken for the stew.,I need to buy more chicken for the stew.
61,"The prawns must be juicy, then nice.","The prawns must be juicy, then they will taste good."
62,Can you help me whisk the cream?,Can you help me whisk the cream?
